Type.of.feeding.interaction,Statistic,Value
insectivorous,mean_log_predator_mass,-0.1976853188686296
insectivorous,median_log_predator_mass,-0.1556254916490872
insectivorous,mean_log_prey_mass,-2.976494909537356
insectivorous,median_log_prey_mass,-3.1190304898984844
insectivorous,mean_log_size_ratio,-2.7788095906687262
insectivorous,median_log_size_ratio,-2.6155823718928994
piscivorous,mean_log_predator_mass,7.712234386475151
piscivorous,median_log_predator_mass,7.9724660159745655
piscivorous,mean_log_prey_mass,1.6355282751099176
piscivorous,median_log_prey_mass,1.8180767775454285
piscivorous,mean_log_size_ratio,-6.076706111365233
piscivorous,median_log_size_ratio,-5.616771097666572
planktivorous,mean_log_predator_mass,-2.8444155291803037
planktivorous,median_log_predator_mass,-3.835061964292018
planktivorous,mean_log_prey_mass,-12.297326664122641
planktivorous,median_log_prey_mass,-13.95247641303743
planktivorous,mean_log_size_ratio,-9.452911134942337
planktivorous,median_log_size_ratio,-9.825526011066417
predacious,mean_log_predator_mass,4.7798697195694055
predacious,median_log_predator_mass,6.411818267709897
predacious,mean_log_prey_mass,-3.399292004575296
predacious,median_log_prey_mass,-1.523260216193048
predacious,mean_log_size_ratio,-8.1791617241447
predacious,median_log_size_ratio,-8.290909375450234
predacious/piscivorous,mean_log_predator_mass,6.064037522134585
predacious/piscivorous,median_log_predator_mass,6.380122536899765
predacious/piscivorous,mean_log_prey_mass,2.410886144449643
predacious/piscivorous,median_log_prey_mass,2.6100697927420065
predacious/piscivorous,mean_log_size_ratio,-3.6531513776849427
predacious/piscivorous,median_log_size_ratio,-3.7102833627770897
